movement_id,latitude,longitude
0,32.207025322996394,-110.90983005132746
0,32.2070252483542,-110.90982946720202
0,32.207025173442,-110.90982888096359
0,32.20702509825832,-110.90982829260071
0,32.20702502280169,-110.90982770210175
0,32.207024947070614,-110.90982710945515
0,32.20702476546825,-110.90982653789402
0,32.20702458304407,-110.9098259637464
0,32.20702439979246,-110.90982538699463
0,32.207024215707804,-110.90982480762092
0,32.2070240307844,-110.90982422560745
0,32.20702401003141,-110.90982378052077
0,32.20702398922934,-110.90982333438141
0,32.207023968378,-110.90982288718563
0,32.20702394747724,-110.9098224389297
0,32.207023926526865,-110.90982198960981
0,32.20702382938211,-110.90982151859855
0,32.2070237319284,-110.90982104608933
0,32.20702363416426,-110.909820572075
0,32.20702353608821,-110.90982009654834
0,32.207023437698744,-110.90981961950209
0,32.20702361666164,-110.90981901612038
0,32.2070237958524,-110.90981841197043
0,32.207023975271454,-110.90981780705074
0,32.20702415491925,-110.90981720135984
0,32.20702433479622,-110.90981659489626
0,32.2070243723474,-110.90981630068809
0,32.20702440993877,-110.90981600616503
0,32.20702444757039,-110.90981571132662
0,32.20702448524233,-110.90981541617225
0,32.207024522954654,-110.90981512070151
0,32.207024564607806,-110.90981457145107
0,32.20702460635475,-110.90981402096384
0,32.207024648195805,-110.90981346923559
0,32.2070246901313,-110.90981291626223
0,32.20702473216152,-110.90981236203942
0,32.20702485205257,-110.90981183081067
0,32.20702497211718,-110.90981129881288
0,32.20702509235573,-110.90981076604437
0,32.2070252127686,-110.9098102325035
0,32.20702533335616,-110.90980969818854
0,32.207025376316835,-110.90980913767137
0,32.20702541937516,-110.90980857588029
0,32.207025462531455,-110.90980801281093
0,32.207025505786056,-110.90980744845893
0,32.207025549139296,-110.9098068828199
0,32.20702556011404,-110.90980635847899
0,32.20702557111485,-110.9098058328928
0,32.2070255821418,-110.90980530605685
0,32.20702559319502,-110.90980477796668
0,32.20702560427458,-110.9098042486178
0,32.20702553858656,-110.90980368976655
0,32.207025472688024,-110.90980312912438
0,32.207025406577976,-110.90980256668277
0,32.2070253402554,-110.90980200243294
0,32.20702527371926,-110.90980143636622
0,32.20702522661367,-110.909800712099
0,32.20702517932975,-110.90979998508969
0,32.20702513186646,-110.90979925532265
0,32.20702508422279,-110.90979852278222
0,32.20702503639771,-110.90979778745249
0,32.20702508028216,-110.9097971964351
0,32.2070251242693,-110.90979660403464
0,32.207025168359486,-110.9097960102463
